7     2610
28    7940
23    6570
18    4200
19    6230
15    4120
24    5360
13    3370
2     2240
8     3260
20    4310
21    5600
18    5870
7     2220
2     2050
18    4970
11    3320
21    4360
4     1610
24    6560
20    6300
20    4780
15    3890
25    6650
25    6740
28    6480
26    6160
27    7070
20    5130
18    3930
1     2480
26    6590
20    4170
26    8260
28    9910
23    5260
17    5060
25    5330
26    6530
19    4620
16    5430
3     2080
12    3260
23    7120
20    3650
19    5270
27    6730
25    8090
12    3230
11    3840
