    80    14710.27    37788.5    22.1    23768.7
    81    18305.06    47382.6    26.1    29551.9
    82    18159.03    54431.3    26.7    33438.2
    83    20835.91    63857.5    27.0    37553.7
    84    25344.45    73003.6    31.4    41817.4
    85    27716.96    81312.3    33.1    46117.4
    86    27206.37    94861.7    36.9    51094.4
    87    32500.00   111197.7    40.2    57653.4
    88    35443.65   132111.8    50.3    66026.1
    89    41771.46   148197.0    59.4    76297.5
    90    50036.01   178796.8    65.6    91954.1
    91    62024.11   216510.9    78.2   111000.8
    92    64471.61   245699.6    84.0   127317.1
    93    67718.89   277496.5    86.3   145151.5
    94    80722.01   323407.1    92.1   172016.2
    95   104676.64   377349.8   103.7   201629.7
    96   126916.27   418479.0   121.1   227294.9
    97   204661.09   453276.4   127.4   248623.2
    98   112665.70   449508.8   105.4   248469.3
